iter	Passed	Remaining
402	13495	19991
403	13528	19957
404	13558	19919
405	13590	19884
406	13626	19853
407	13663	19825
408	13694	19788
409	13727	19754
410	13759	19719
411	13792	19685
412	13824	19649
413	13860	19619
414	13898	19591
415	13928	19552
416	13957	19513
417	13989	19478
418	14024	19447
419	14057	19412
420	14093	19382
421	14126	19348
422	14156	19310
423	14189	19276
424	14221	19241
425	14255	19208
426	14288	19173
427	14320	19139
428	14356	19108
429	14388	19073
430	14420	19038
431	14452	19002
432	14480	18962
433	14509	18922
434	14541	18887
435	14579	18859
436	14609	18821
437	14640	18785
438	14672	18750
439	14707	18718
440	14741	18686
441	14792	18674
442	14824	18639
443	14856	18603
444	14889	18570
445	14920	18534
446	14952	18498
447	14986	18465
448	15018	18430
449	15056	18402
450	15088	18367
451	15121	18332
452	15153	18298
453	15184	18261
454	15216	18226
455	15318	18274
456	15416	18317
457	15471	18309
458	15502	18271
459	15536	18238
460	15572	18207
461	15604	18171
462	15635	18134
463	15668	18099
464	15698	18061
465	15734	18030
466	15771	18000
467	15805	17966
468	15838	17931
469	15870	17895
470	15902	17860
471	15935	17825
472	15968	17791
473	16000	17756
474	16034	17722
475	16069	17690
476	16100	17652
477	16131	17616
478	16163	17580
479	16191	17541
480	16222	17504
481	16259	17474
482	16289	17436
483	16319	17398
484	16352	17363
485	16385	17329
486	16417	17294
487	16454	17264
488	16485	17226
489	16517	17191
490	16548	17154
491	16578	17118
492	16612	17083
493	16644	17049
494	16677	17014
495	16716	16986
496	16748	16950
497	16780	16915
498	16813	16880
499	16845	16845
500	16875	16808
501	16904	16770
502	16938	16736
503	16970	16700
504	17001	16664
505	17035	16631
506	17068	16596
507	17099	16560
508	17139	16533
509	17173	16500
510	17202	16462
511	17236	16428
512	17267	16392
513	17298	16356
514	17329	16320
515	17365	16288
516	17399	16255
517	17435	16223
518	17466	16187
519	17497	16151
520	17529	16116
521	17562	16082
522	17598	16051
523	17630	16015
524	17665	15983
525	17698	15948
526	17731	15914
527	17764	15880
528	17796	15845
529	17835	15816
530	17865	15779
531	17898	15745
532	17929	15709
533	17963	15676
534	17996	15642
535	18024	15603
536	18061	15572
537	18093	15537
538	18123	15500
539	18154	15464
540	18188	15432
541	18218	15395
542	18247	15357
543	18281	15324
544	18316	15292
545	18349	15257
546	18380	15221
547	18410	15185
548	18443	15151
549	18476	15116
550	18508	15082
551	18544	15050
552	18578	15017
553	18612	14983
554	18643	14948
555	18676	14914
556	18710	14880
557	18746	14849
558	18778	14814
559	18810	14779
560	18840	14742
561	18871	14707
562	18905	14674
563	18937	14639
564	18971	14606
565	19008	14575
566	19041	14541
567	19074	14507
568	19106	14472
569	19136	14436
570	19169	14402
571	19206	14371
572	19238	14336
573	19271	14302
